Metric,Value
Number of Iterations,1000
Number of Routes,5
Scenarios with Violation,232
Percentage with Violation,23.20%
Mean Violation,1.4150
Max Violation,21.0000
Min Violation,0.0000
Std Deviation,3.2877

Scenario,Violation
1,0
2,4
3,0
4,0
5,0
6,0
7,9
8,0
9,0
10,8
11,0
12,0
13,0
14,0
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,8
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,5
46,0
47,0
48,0
49,12
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,8
73,0
74,0
75,0
76,8
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,14
87,2
88,0
89,0
90,0
91,9
92,0
93,0
94,0
95,0
96,0
97,4
98,8
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,2
111,2
112,13
113,7
114,0
115,9
116,0
117,2
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,6
128,0
129,0
130,0
131,4
132,0
133,0
134,0
135,0
136,0
137,8
138,0
139,0
140,9
141,0
142,0
143,2
144,14
145,4
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,11
156,0
157,0
158,7
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,9
169,0
170,0
171,6
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,5
186,0
187,0
188,0
189,2
190,8
191,0
192,0
193,7
194,0
195,9
196,0
197,4
198,0
199,0
200,6
201,0
202,0
203,0
204,0
205,5
206,0
207,0
208,6
209,9
210,0
211,8
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,11
220,0
221,0
222,0
223,0
224,2
225,0
226,0
227,18
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,11
240,0
241,1
242,0
243,0
244,6
245,0
246,0
247,6
248,0
249,0
250,12
251,7
252,17
253,0
254,0
255,0
256,0
257,0
258,9
259,0
260,0
261,0
262,7
263,2
264,0
265,15
266,0
267,0
268,0
269,0
270,5
271,0
272,0
273,0
274,0
275,0
276,0
277,6
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,11
296,0
297,1
298,1
299,11
300,0
301,0
302,0
303,0
304,0
305,9
306,0
307,0
308,0
309,0
310,0
311,2
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,4
320,0
321,2
322,0
323,0
324,0
325,0
326,0
327,4
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,14
344,0
345,1
346,0
347,0
348,1
349,5
350,0
351,16
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,6
360,0
361,0
362,0
363,0
364,0
365,11
366,0
367,9
368,0
369,0
370,0
371,0
372,0
373,0
374,12
375,0
376,0
377,5
378,0
379,0
380,4
381,6
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,4
391,0
392,0
393,0
394,0
395,0
396,0
397,9
398,0
399,0
400,0
401,1
402,0
403,0
404,4
405,0
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,12
414,0
415,0
416,0
417,9
418,0
419,0
420,0
421,9
422,3
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,4
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,3
442,0
443,0
444,0
445,0
446,0
447,11
448,0
449,0
450,7
451,0
452,0
453,0
454,5
455,2
456,0
457,0
458,0
459,0
460,3
461,0
462,0
463,0
464,2
465,0
466,0
467,0
468,0
469,10
470,0
471,8
472,0
473,0
474,7
475,0
476,6
477,0
478,0
479,13
480,0
481,0
482,0
483,0
484,3
485,9
486,0
487,6
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,6
497,0
498,0
499,7
500,5
501,0
502,0
503,0
504,0
505,14
506,0
507,0
508,0
509,1
510,10
511,0
512,0
513,0
514,1
515,8
516,0
517,0
518,0
519,0
520,0
521,0
522,6
523,0
524,0
525,21
526,0
527,0
528,0
529,0
530,0
531,18
532,0
533,0
534,0
535,5
536,4
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,2
556,0
557,0
558,3
559,0
560,0
561,0
562,16
563,11
564,0
565,7
566,0
567,0
568,12
569,4
570,0
571,1
572,0
573,4
574,5
575,0
576,0
577,0
578,0
579,0
580,7
581,0
582,0
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,3
594,0
595,19
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,6
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,2
614,0
615,0
616,0
617,5
618,0
619,0
620,0
621,0
622,11
623,0
624,0
625,0
626,0
627,7
628,1
629,0
630,0
631,0
632,0
633,7
634,0
635,0
636,0
637,0
638,0
639,0
640,8
641,0
642,0
643,12
644,0
645,6
646,0
647,1
648,0
649,1
650,0
651,8
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,4
660,0
661,1
662,0
663,5
664,0
665,0
666,0
667,2
668,0
669,8
670,0
671,9
672,0
673,0
674,0
675,2
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,7
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,5
696,0
697,0
698,0
699,0
700,0
701,0
702,2
703,0
704,0
705,0
706,3
707,0
708,0
709,4
710,0
711,0
712,0
713,0
714,0
715,0
716,6
717,5
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,5
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,12
740,6
741,0
742,0
743,0
744,21
745,3
746,4
747,0
748,0
749,0
750,0
751,1
752,9
753,0
754,7
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,6
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,11
776,0
777,2
778,0
779,0
780,0
781,12
782,3
783,0
784,8
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,11
793,1
794,0
795,5
796,0
797,4
798,0
799,0
800,0
801,0
802,6
803,0
804,0
805,1
806,0
807,0
808,0
809,6
810,0
811,0
812,0
813,0
814,0
815,0
816,3
817,0
818,3
819,0
820,9
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,0
